JCC,Name1,Name2,Obsolete
1921,Kaizu,海津市,
2001,Nagoya,名古屋市,
2002,Toyohashi,豊橋市,
2003,Okazaki,岡崎市,
2004,Ichinomiya,一宮市,
2005,Seto,瀬戸市,
2006,Handa,半田市,
2007,Kasugai,春日井市,
2008,Toyokawa,豊川市,
2009,Tsushima,津島市,
2010,Hekinan,碧南市,
2011,Kariya,刈谷市,
2012,Toyota,豊田市,
2013,Anjo,安城市,
2014,Nishio,西尾市,
2015,Gamagori,蒲郡市,
2016,Inuyama,犬山市,
2017,Tokoname,常滑市,
2018,Moriyama,守山市,"Feb.9,1963"
2019,Konan,江南市,
2020,Bisai,尾西市,"Mar.31,2005"
2021,Komaki,小牧市,
2022,Inazawa,稲沢市,
2023,Shinshiro,新城市,
2024,Tokai,東海市,
2025,Obu,大府市,
2026,Chita,知多市,
2027,Takahama,高浜市,
2028,Chiryu,知立市,
2029,Owariasahi,尾張旭市,
2030,Iwakura,岩倉市,
2031,Toyoake,豊明市,
2032,Nissin,日進市,
2033,Tahara,田原市,
2034,Aisai,愛西市,
2035,Kiyosu,清須市,
2036,Kitanagoya,北名古屋市,
2037,Yatomi,弥富市,
2038,Miyoshi,みよし市,
2039,Ama,あま市,
2040,Nagakute,長久手市,
2101,Tsu,津市,
2102,Yokkaichi,四日市市,
2103,Ise,伊勢市,
2104,Matsusaka,松阪市,
2105,Kuwana,桑名市,
2106,Ueno,上野市,"Oct.31,2004"
2107,Suzuka,鈴鹿市,
2108,Nabari,名張市,
2109,Owase,尾鷲市,
2110,Kameyama,亀山市,
2111,Toba,鳥羽市,
2112,Kumano,熊野市,
2113,Hisai,久居市,"Dec.31,2005"
2114,Ujiyamada,宇治山田市,"Dec.31,1954"
2115,Inabe,いなべ市,
2116,Shima,志摩市,
2117,Iga,伊賀市,
2201,Kyoto,京都市,
2202,Fukuchiyama,福知山市,
2203,Maizuru,舞鶴市,
2204,Ayabe,綾部市,
2205,Uji,宇治市,
2206,Miyazu,宮津市,
2207,Kameoka,亀岡市,
2208,Joyo,城陽市,
2209,Nagaokakyo,長岡京市,
2210,Muko,向日市,
2211,Yawata,八幡市,
2212,Kyotanabe,京田辺市,
2213,Kyotango,京丹後市,
2214,Nantan,南丹市,
2215,Kizugawa,木津川市,
2301,Otsu,大津市,
2302,Hikone,彦根市,
2303,Nagahama,長浜市,
2304,Omihachiman,近江八幡市,
2305,Yokaichi,八日市市,"Feb.10,2005"
2306,Kusatsu,草津市,
2307,Moriyama,守山市,
2308,Ritto,栗東市,
2309,Koka,甲賀市,
2310,Yasu,野洲市,
2311,Konan,湖南市,
2312,Takashima,高島市,
2313,Higashioumi,東近江市,
2314,Maibara,米原市,
2401,Nara,奈良市,
2402,Yamatotakada,大和高田市,
2403,Yamatokoriyama,大和郡山市,
2404,Tenri,天理市,
2405,Kashihara,橿原市,
2406,Sakurai,桜井市,
2407,Gojo,五條市,
2408,Gose,御所市,
2409,Ikoma,生駒市,
2410,Kashiba,香芝市,
2411,Katsuragi,葛城市,
2412,Uda,宇陀市,
2501,Osaka,大阪市,
2502,Sakai,堺市,
2503,Kishiwada,岸和田市,
2504,Toyonaka,豊中市,
2505,Fuse,布施市,Jan.31.1967
2506,Ikeda,池田市,
2507,Suita,吹田市,
2508,Izumiotsu,泉大津市,
2509,Takatsuki,高槻市,
2510,Kaizuka,貝塚市,
2511,Moriguchi,守口市,
2512,Hirakata,枚方市,
2513,Ibaraki,茨木市,
2514,Yao,八尾市,
2515,Izumisano,泉佐野市,
2516,Tondabayashi,富田林市,
2517,Neyagawa,寝屋川市,
2518,Kawachinagano,河内長野市,
2519,Hiraoka,枚岡市,"Jan.31,1967"
2520,Kawachi,河内市,"Jan.31,1967"
2521,Matsubara,松原市,
2522,Daito,大東市,
2523,Izumi,和泉市,
2524,Mino,箕面市,
2525,Kashiwara,柏原市,
2526,Habikino,羽曳野市,
2527,Kadoma,門真市,
2528,Settsu,摂津市,
2529,Fujiidera,藤井寺市,
2530,Takaishi,高石市,
2531,Higashiosaka,東大阪市,
2532,Sennan,泉南市,
2533,Shijonawate,四條畷市,
2534,Katano,交野市,
2535,Osakasayama,大阪狭山市,
2536,Hannan,阪南市,
2601,Wakayama,和歌山市,
2602,Shingu,新宮市,
2603,Kainan,海南市,
2604,Tanabe,田辺市,
2605,Gobo,御坊市,
2606,Hashimoto,橋本市,
2607,Arida,有田市,
2608,Kinokawa,紀の川市,
2609,Iwade,岩出市,
2701,Kobe,神戸市,
2702,Himeji,姫路市,
2703,Amagasaki,尼崎市,
2704,Akashi,明石市,
2705,Nishinomiya,西宮市,
2706,Sumoto,洲本市,
2707,Ashiya,芦屋市,
2708,Itami,伊丹市,
2709,Aioi,相生市,
2710,Toyooka,豊岡市,
2711,Kakogawa,加古川市,
2712,Tatsuno,龍野市,"Sep.30,2005"
2713,Ako,赤穂市,
2714,Nishiwaki,西脇市,
2715,Takarazuka,宝塚市,
2716,Miki,三木市,
2717,Takasago,高砂市,
2718,Kawanishi,川西市,
2719,Ono,小野市,
2720,Sanda,三田市,
2721,Kasai,加西市,
2722,Sasayama,篠山市,"Apr.30,2019"
2723,Yabu,養父市,
2724,Tanba,丹波市,
2725,Minamiawaji,南あわじ市,
2726,Asago,朝来市,
2727,Awaji,淡路市,
2728,Shiso,宍粟市,
2729,Kato,加東市,
2730,Tatsuno,たつの市,
2731,Tanbasasayama,丹波篠山市,
2801,Toyama,富山市,
2802,Takaoka,高岡市,
2803,Shinminato,新湊市,"Oct.31,2005"
2804,Uozu,魚津市,
2805,Himi,氷見市,
2806,Namerikawa,滑川市,
2807,Kurobe,黒部市,
2808,Tonami,砺波市,
2809,Oyabe,小矢部市,
2810,Nanto,南砺市,
2811,Imizu,射水市,
2901,Fukui,福井市,
2902,Tsuruga,敦賀市,
2903,Takefu,武生市,"Sep.30,2005"
2904,Obama,小浜市,
2905,Ono,大野市,
2906,Katsuyama,勝山市,
2907,Sabae,鯖江市,
2908,Awara,あわら市,
2909,Echizen,越前市,
2910,Sakai,坂井市,
3001,Kanazawa,金沢市,
3002,Nanao,七尾市,
3003,Komatsu,小松市,
3004,Wajima,輪島市,
3005,Suzu,珠洲市,
3006,Kaga,加賀市,
3007,Hakui,羽咋市,
3008,Matsuto,松任市,"Jan.31,2005"
3009,Kahoku,かほく市,
3010,Hakusan,白山市,
3011,Nomi,能美市,
3012,Nonoichi,野々市市,
3101,Okayama,岡山市,
3102,Kurashiki,倉敷市,
3103,Tsuyama,津山市,
3104,Tamano,玉野市,
3105,Kojima,児島市,"Jan.31,1967"
3106,Tamashima,玉島市,"Jan.31,1967"
3107,Kasaoka,笠岡市,
3108,saidaiji,西大寺市,"Feb.16,1969"
3109,Ibara,井原市,
3110,Soja,総社市,
3111,Takahashi,高梁市,
3112,Niimi,新見市,
3113,Bizen,備前市,
3114,Setouchi,瀬戸内市,
3115,Akaiwa,赤磐市,
3116,Maniwa,真庭市,
3117,Mimasaka,美作市,
3118,Asakuchi,浅口市,
3201,Matsue,松江市,
3202,Hamada,浜田市,
3203,Izumo,出雲市,
3204,Masuda,益田市,
3205,Oda,大田市,
3206,Yasugi,安来市,
3207,Gotsu,江津市,
3208,Hirata,平田市,"Mar.21,2005"
3209,Unnan,雲南市,
3301,Yamaguchi,山口市,
3302,Shimonoseki,下関市,
3303,Ube,宇部市,
3304,Hagi,萩市,
3305,Tokuyama,徳山市,"Apr.20,2003"
3306,Hofu,防府市,
3307,Kudamatsu,下松市,
3308,Iwakuni,岩国市,
3309,Onoda,小野田市,"Mar.21,2005"
3310,Hikari,光市,
3311,Nagato,長門市,
3312,Yanai,柳井市,
3313,Mine,美祢市,
3314,Shinnan'yo,新南陽市,"Apr.20,2003"
3315,Shunan,周南市,
3316,San'yoonoda,山陽小野田市,
3401,Tottori,鳥取市,
3402,Kurayoshi,倉吉市,
3403,Yonago,米子市,
3404,Sakaiminato,境港市,
3501,Hiroshima,広島市,
3502,Kure,呉市,
3503,Takehara,竹原市,
3504,Mihara,三原市,
3505,Onomichi,尾道市,
3506,Innoshima,因島市,"Jan,9,2006"
3507,Matsunaga,松永市,"Apr.30,1966"
3508,Fukuyama,福山市,
3509,Fuchu,府中市(広島),
3510,Miyoshi,三次市,
3511,Syoubara,庄原市,
3512,Otake,大竹市,
3513,Higashihiroshima,東広島市,
3514,Hatsukaichi,廿日市市,
3515,Akitakata,安芸高田市,
3516,Etajima,江田島市,
3601,Takamatsu,高松市,
3602,Marugame,丸亀市,
3603,Sakaide,坂出市,
3604,Zentsuji,善通寺市,
3605,Kan'onji,観音寺市,
3606,Sanuki,さぬき市,
3607,Higashikagawa,東かがわ市,
3608,Mitoyo,三豊市,
3701,Tokushima,徳島市,
3702,Naruto,鳴門市,
3703,Komatsushima,小松島市,
3704,Anan,阿南市,
3705,Yoshinogawa,吉野川市,
3706,Awa,阿波市,
3707,Mima,美馬市,
3708,Miyoshi,三好市,
3801,Matsuyama,松山市,
3802,Imabari,今治市,
3803,Uwajima,宇和島市,
3804,Yawatahama,八幡浜市,
3805,Niihama,新居浜市,
3806,Saijo,西条市,
3807,Ozu,大洲市,
3808,Iyomishima,伊予三島市,"Mar.31,2004"
3809,Kawanoe,川之江市,"Mar.31,2004"
3810,Iyo,伊予市,
3811,Hojo,北条市,"Dec.31,2004"
3812,Toyo,東予市,"Oct.31,2004"
3813,Shikokuchuo,四国中央市,
3814,Seiyo,西予市,
3815,Toon,東温市,
3901,Kochi,高知市,
3902,Muroto,室戸市,
3903,Aki,安芸市,
3904,Tosa,土佐市,
3905,Susaki,須崎市,
3906,Nakamura,中村市,"Apr.9,2005"
3907,Sukumo,宿毛市,
3908,Tosashimizu,土佐清水市,
3909,Nankoku,南国市,
3910,Shimanto,四万十市,
