"muniCd","Pref","City","JCCCd","WDCd","JCC_text","JCGCd","JCG_text","hamlogCd"
"3484","岩手県","田野畑村",,,,"03007","下閉伊郡","A"
"3485","岩手県","普代村",,,,"03007","下閉伊郡","D"
"3501","岩手県","軽米町",,,,"03005","九戸郡","D"
"3503","岩手県","野田村",,,,"03005","九戸郡","C"
"3506","岩手県","九戸村",,,,"03005","九戸郡","E"
"3507","岩手県","洋野町",,,,"03005","九戸郡","G"
"3524","岩手県","一戸町",,,,"03010","二戸郡","C"
"4100","宮城県","仙台市","0601",,"仙台市",,,
"4101","宮城県","仙台市 青葉区","0601","060101","仙台市",,,
"4102","宮城県","仙台市 宮城野区","0601","060102","仙台市",,,
"4103","宮城県","仙台市 若林区","0601","060103","仙台市",,,
"4104","宮城県","仙台市 太白区","0601","060104","仙台市",,,
"4105","宮城県","仙台市 泉区","0601","060105","仙台市",,,
"4202","宮城県","石巻市","0602",,"石巻市",,,
"4203","宮城県","塩竈市","0603",,"塩竈市",,,
"4205","宮城県","気仙沼市","0605",,"気仙沼市",,,
"4206","宮城県","白石市","0606",,"白石市",,,
"4207","宮城県","名取市","0607",,"名取市",,,
"4208","宮城県","角田市","0608",,"角田市",,,
"4209","宮城県","多賀城市","0609",,"多賀城市",,,
"4211","宮城県","岩沼市","0611",,"岩沼市",,,
"4212","宮城県","登米市","0612",,"登米市",,,
"4213","宮城県","栗原市","0613",,"栗原市",,,
"4214","宮城県","東松島市","0614",,"東松島市",,,
"4215","宮城県","大崎市","0615",,"大崎市",,,
"4216","宮城県","富谷市","0616",,"富谷市",,,
"4301","宮城県","蔵王町",,,,"06003","刈田郡","A"
"4302","宮城県","七ケ宿町",,,,"06003","刈田郡","B"
"4321","宮城県","大河原町",,,,"06008","柴田郡","A"
"4322","宮城県","村田町",,,,"06008","柴田郡","D"
"4323","宮城県","柴田町",,,,"06008","柴田郡","C"
"4324","宮城県","川崎町",,,,"06008","柴田郡","B"
"4341","宮城県","丸森町",,,,"06001","伊具郡","A"
"4361","宮城県","亘理町",,,,"06016","亘理郡","A"
"4362","宮城県","山元町",,,,"06016","亘理郡","B"
"4401","宮城県","松島町",,,,"06013","宮城郡","B"
"4404","宮城県","七ヶ浜町",,,,"06013","宮城郡","A"
"4406","宮城県","利府町",,,,"06013","宮城郡","C"
